sample	hier_label	hier_label2	hier_label16	hier_label32	root_ancestor	branch_length	_pt_highlight	user_colour	root_color	polytomy
n186	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1	b16:7F94B.q3	b32:FUAB.q3	true	28	#4363d8			
PX051445.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.0	b16:7F94B.o6	b32:FUAB.o6		75		#4363d8	#4363d8	
n188	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.1	b16:7F94B.o7	b32:FUAB.o7		91				
2025.EXT.1106.1850.221	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.1.0	b16:7F94BE	b32:FUAB.he		6		#4363d8		
n190	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.1.1	b16:7F94BF	b32:FUAB.hf		1				
2025.EXT.1106.1850.222	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.1.1.0	b16:7F94BF.b0	b32:FUABU		3		#4363d8		
n192	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.1.1.1	b16:7F94BF.b1	b32:FUABV		3				
2025.EXT.1106.1850.223	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.1.1.1.0	b16:7F94BF.q2	b32:FUABV.b0		6		#4363d8		
n194	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.1.1.1.1	b16:7F94BF.q3	b32:FUABV.b1		3				
2025.EXT.1106.1850.224	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.1.1.1.1.0	b16:7F94BF.o6	b32:FUABV.q2		6		#4363d8		
2025.EXT.1106.1850.229	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.1.1.1.1.1	b16:7F94BF.o7	b32:FUABV.q3		24		#4363d8		
n197	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0	b16:7F94B9.b0	b32:FUABI	true	5				
n198	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0	b16:7F94B9.q0	b32:FUABI.b0	true	2				
JF719069.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0	b16:7F94B9.o0	b32:FUABI.q0		72				
n200	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1	b16:7F94B9.o1	b32:FUABI.q1	true	2				
n201	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0	b16:7F94B92	b32:FUABI.o2	true	39	#f58231			
2025.EXT.1106.1850.2211	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.0	b16:7F94B92.b0	b32:FUABI.h4		89		#f58231	#f58231	
n203	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1	b16:7F94B92.b1	b32:FUABI.h5		21				
ON813215.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.0	b16:7F94B92.q2	b32:FUABIA		46		#f58231		
n205	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1	b16:7F94B92.q3	b32:FUABIB		11				
n206	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.0	b16:7F94B92.o6	b32:FUABIB.b0		69				6
PX619835.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.0.0	b16:7F94B92C	b32:FUABIB.q0		0		#f58231		
PX619838.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.0.1	b16:7F94B92D	b32:FUABIB.q1		0		#f58231		
PX619836.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.1.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.0.0.0.1.0	b16:7F94B92C.o2	b32:FUABIB2		0		#f58231		
PX619830.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.1.4	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.0.0.0.1.1	b16:7F94B92C.o3	b32:FUABIB3		0		#f58231		
PX619832.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.1.5	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.0.0.1.0.0	b16:7F94B92C.o4	b32:FUABIB4		0		#f58231		
PX619837.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.1.6	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.0.0.1.0.1	b16:7F94B92C.o5	b32:FUABIB5		0		#f58231		
n213	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1	b16:7F94B92.o7	b32:FUABIB.b1		8				
n214	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.0	b16:7F94B92E	b32:FUABIB.q2		52				
2023.TE.4097.2.2	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.0.0	b16:7F94B92E.b0	b32:FUABIB.o4		3		#f58231		
n216	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.0.1	b16:7F94B92E.b1	b32:FUABIB.o5		5				
2023.TE.2016.2.2	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.1.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.0.1.0	b16:7F94B92E.q2	b32:FUABIB.ha		0		#f58231		
2023.TE.4097.2.3	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.1.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.0.1.1	b16:7F94B92E.q3	b32:FUABIB.hb		3		#f58231		
n219	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.1	b16:7F94B92F	b32:FUABIB.q3		48				
n220	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.1.0	b16:7F94B92F.b0	b32:FUABIB.o6		1				
MW627239.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.1.0.0	b16:7F94B92F.q0	b32:FUABIB.hc		0		#f58231		
PX619839.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.2.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.1.0.1	b16:7F94B92F.q1	b32:FUABIB.hd		0		#f58231		
n223	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.1.1	b16:7F94B92F.b1	b32:FUABIB.o7		2				
OQ552605.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.1.1.0	b16:7F94B92F.q2	b32:FUABIB.he		1		#f58231		
n225	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.1.1.1	b16:7F94B92F.q3	b32:FUABIB.hf		14				
2022.TE.48124.2.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.1.1.1.0	b16:7F94B92F.o6	b32:FUABIBU		40		#f58231		
2022.TE.49680.2.3	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.1.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.0.1.1.1.1.1.1.1	b16:7F94B92F.o7	b32:FUABIBV		4		#f58231		
n228	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1	b16:7F94B93	b32:FUABI.o3	true	17				
2025.EXT.1106.1850.2210	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.0	b16:7F94B93.b0	b32:FUABI.h6		90				
n230	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1	b16:7F94B93.b1	b32:FUABI.h7	true	5				
n231	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0	b16:7F94B93.q2	b32:FUABIE	true	38	#911eb4			4
JF719065.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0	b16:7F94B93.o4	b32:FUABIE.b0		0		#911eb4	#911eb4	
JF719067.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.1	b16:7F94B93.o5	b32:FUABIE.b1		4		#911eb4		
n234	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.0	b16:7F94B938.q2	b32:FUABIE.h2		4				
JF719066.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.0.0	b16:7F94B938.o4	b32:FUABIE4		0		#911eb4		
MW835351.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.0.1	b16:7F94B938.o5	b32:FUABIE5		0		#911eb4		
n237	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1	b16:7F94B938.q3	b32:FUABIE.h3		1				5
MW835354.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0	b16:7F94B938.o6	b32:FUABIE6		0		#911eb4		
n239	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.1	b16:7F94B938.o7	b32:FUABIE7		1				
FJ483548.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.1.0	b16:7F94B938E	b32:FUABIE7.b0		3		#911eb4		
MW835353.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.1.1	b16:7F94B938F	b32:FUABIE7.b1		0		#911eb4		
n242	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.0.1.0	b16:7F94B938C.q2	b32:FUABIE6.o2		6				
KF234080.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.0.1.0.0	b16:7F94B938C.o4	b32:FUABIE6.h4		11		#911eb4		
n244	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.0.1.0.1	b16:7F94B938C.o5	b32:FUABIE6.h5		2				
GU011992.2	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.3.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.0.1.0.1.0	b16:7F94B938CA	b32:FUABIE6A		1		#911eb4		
JF719068.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.3.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.0.1.0.1.1	b16:7F94B938CB	b32:FUABIE6B		3		#911eb4		
n247	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.4	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.0.1.1	b16:7F94B938C.q3	b32:FUABIE6.o3		6				
KU573078.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.4.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.0.1.1.0	b16:7F94B938C.o6	b32:FUABIE6.h6		8		#911eb4		
n249	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.4.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.0.1.1.1	b16:7F94B938C.o7	b32:FUABIE6.h7		1				
KU573079.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.4.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.0.1.1.1.0	b16:7F94B938CE	b32:FUABIE6E		5		#911eb4		
MW835355.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.4.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.0.1.1.1.1	b16:7F94B938CF	b32:FUABIE6F		6		#911eb4		
n252	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.5	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.1.0.0	b16:7F94B938D.q0	b32:FUABIE6.o4		6				3
FJ483549.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.5.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.1.0.0.0	b16:7F94B938D.o0	b32:FUABIE6.h8		0		#911eb4		
KU573077.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.5.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.1.0.0.1	b16:7F94B938D.o1	b32:FUABIE6.h9		1		#911eb4		
MW835352.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.1.4.5.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.0.0.0.1.1.0.1.0.0.0.0.1.0	b16:7F94B938D0.q2	b32:FUABIE6G.q2		1		#911eb4		
n256	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1	b16:7F94B93.q3	b32:FUABIF	true	28				
n257	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0	b16:7F94B93.o6	b32:FUABIF.b0	true	43	#42d4f4			
MW835358.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.0	b16:7F94B93C	b32:FUABIF.q0		1		#42d4f4	#42d4f4	
n259	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1	b16:7F94B93D	b32:FUABIF.q1		2				3
MW835356.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1.0	b16:7F94B93D.b0	b32:FUABIF.o2		0		#42d4f4		
MW835357.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1.1	b16:7F94B93D.b1	b32:FUABIF.o3		0		#42d4f4		
n262	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1.0.0.1.0	b16:7F94B93D2	b32:FUABIF9.b0		1				
MW835362.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1.0.0.1.0.0	b16:7F94B93D2.b0	b32:FUABIF9.q0		2		#42d4f4		
n264	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1.0.0.1.0.1	b16:7F94B93D2.b1	b32:FUABIF9.q1		2				
MW835359.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2.3.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1.0.0.1.0.1.0	b16:7F94B93D2.q2	b32:FUABIF9.o2		0		#42d4f4		
n266	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2.3.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1.0.0.1.0.1.1	b16:7F94B93D2.q3	b32:FUABIF9.o3		3				3
MW835361.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2.3.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1.0.0.1.0.1.1.0	b16:7F94B93D2.o6	b32:FUABIF9.h6		0		#42d4f4		
MW835360.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2.3.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1.0.0.1.0.1.1.1	b16:7F94B93D2.o7	b32:FUABIF9.h7		0		#42d4f4		
MW835363.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.1.2.3.2.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.0.1.0.0.1.0.1.1.0.0.1.0	b16:7F94B93D2C.q2	b32:FUABIF9C.q2		0		#42d4f4		
n270	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1	b16:7F94B93.o7	b32:FUABIF.b1	true	38	#f032e6			
n271	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.0	b16:7F94B93E	b32:FUABIF.q2	true	5				
OM302319.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.0.0	b16:7F94B93E.b0	b32:FUABIF.o4		11		#f032e6	#f032e6	
n273	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.0.1	b16:7F94B93E.b1	b32:FUABIF.o5		3				
OM302324.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.1.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.0.1.0	b16:7F94B93E.q2	b32:FUABIF.ha		8		#f032e6		
n275	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.1.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.0.1.1	b16:7F94B93E.q3	b32:FUABIF.hb		13				
OM302320.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.1.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.0.1.1.0	b16:7F94B93E.o6	b32:FUABIFM		0		#f032e6		
OM302321.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.1.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.0.1.1.1	b16:7F94B93E.o7	b32:FUABIFN		0		#f032e6		
n278	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.1	b16:7F94B93F	b32:FUABIF.q3		16				
n279	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.1.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.1.1.1.1.1.1.0	b16:7F94B93F.b0	b32:FUABIF.o6		5				3
